state meaning
Alabama "**alba amo/Albaamaha** <br>'Thicket-clearers' or 'plant-cutters', from alba, '(medicinal) plants', and amo, 'to clear'. The modern Choctaw name for the tribe is Albaamu."
Alaska "**alaxsxaq via Аляска (Alyaska)** <br>'Mainland' (literally 'the object towards which the action of the sea is directed')."
Arizona "**aritz ona** <br>'The good oak'.
**ali ṣona-g via Arizonac** <br>'Having a little spring'."
Arkansas "**akakaze via Arcansas** <br>Borrowed from a French spelling of a Miami-Illinois rendering of the tribal name kką:ze (see Kansas, below), which the Miami and Illinois used to refer to the Quapaw."
California "**california** <br>Probably named for the fictional Island of California ruled by Queen Calafia in the 16th-century novel Las sergas de Esplandián by Garci Rodríguez de Montalvo..mw-parser-output .hatnote{font-style:italic}.mw-parser-output div.hatnote{padding-left:1.6em;margin-bottom:0.5em}.mw-parser-output .hatnote i{font-style:normal}.mw-parser-output .hatnote+link+.hatnote{margin-top:-0.5em}See also: Etymology of California"
Colorado "**colorado** <br>'Ruddy' or 'red', originally referring to the Colorado River."
Connecticut "**quinnitukqut** <br>From some Eastern Algonquian language of southern New England (perhaps Mahican), meaning 'at the long tidal river', after the Connecticut River. The name reflects Proto-Eastern-Algonquian *kwən-, 'long'; *-əhtəkw, 'tidal river'; and *-ənk, the locative suffix)."
Delaware "**de la Warr** <br>After the Delaware River, which was named for Lord de la Warr (originally probably Norman French de la guerre or de la werre, 'of the war').Lord de la Warr was the first Governor-General of the Colony of Virginia."
Florida "**(pascua) florida** <br>'Flowery (Easter)' (to distinguish it from Christmastide, which was also called Pascua), in honor of its discovery by the Spanish during the Easter season."
Georgia "**Georgius** <br>The feminine Latin form of ""George"", named after King George II of Great Britain. It was also a reference to Saint George, whose name was derived from the Greek word georgos, meaning 'husbandman' or 'farmer', from ge 'earth' + ergon 'work'."
Hawaii "**Hawaiʻi** <br>Either from Hawaiki, legendary homeland of the Polynesians (Hawaiki is believed to mean 'place of the gods'), or named for Hawaiʻiloa, legendary discoverer of the Hawaiian Islands."
Idaho "**Idaho** <br>Probably made up by George M. ""Doc"" Willing as a practical joke in reference to the name Ida; originally claimed to have been derived from a word in a Native American language that meant 'Gem of the Mountains'. The name was initially proposed for the Territory of Colorado until its origins were discovered. Years later it fell into common usage, and was proposed for the Territory of Idaho instead.
**ídaahę́** <br>Possibly from the Plains Apache word for 'enemy' (ídaahę́), which was used to refer to the Comanches."
Illinois "**ilenweewa** <br>The state is named for the French adaptation of an Algonquian language (perhaps Miami-Illinois) word apparently meaning 'speaks normally' (cf. Miami-Illinois ilenweewa,Ojibwe <ilinoüek>,Proto-Algonquian *elen-, 'ordinary', and -we·, 'to speak'), referring to the Illiniwek (Illinois)."
Indiana "**indiāna** <br>'Land of the Indians'. The names ""Indians"" and ""India"" come, via Latin, Greek, Old Persian and Sanskrit, from Proto-Indo-Iranian *sindhu-, which originally referred to the Indus River."
Iowa "**ayúxba / ayuxwe via Aiouez** <br>Via French Aiouez, and named after the Iowa tribe. This demonym has no further known etymology, though some give it the meaning 'sleepy ones'."
Kansas "**kką:ze via Cansez** <br>Named after the Kansas River, which in turn was named after the Kaw or Kansas tribe. The name seems to be connected to the idea of ""wind""."
Kentucky "**(see Meaning and notes)** <br>Originally referring to the Kentucky River. While some sources say the etymology is uncertain, most agree on a meaning of '(on) the meadow' or '(on) the prairie' (cf. Mohawk kenhtà:ke, Seneca gëdá’geh (phonemic /kẽtaʔkeh/), 'at the field')."
Louisiana "**Louisiane** <br>After King Louis XIV of France. The name Louis itself comes from Frankish hluda, 'heard of, famous' (cf. loud) + wiga, 'war'."
Maine "**main** <br>A common historical etymology is that the name refers to the mainland, as opposed to the coastal islands.
**Maine** <br>After the French province of Maine.
**(Broad)mayne** <br>A more recent proposal is that the state was named after the English village of Broadmayne, which was the family estate of Sir Ferdinando Gorges, the colony's founder."
Maryland "**Myriam** <br>After Queen Henrietta Maria, wife of King Charles I of England. The name Mary originally meant 'bitterness' or 'rebelliousness' in Hebrew, and could also have come from the Egyptian word for 'beloved' or 'love'."
Massachusetts "**muhsachuweesut** <br>Plural of muswachusut, meaning 'near the great little-mountain' or 'at the great hill', which is usually identified as Great Blue Hill on the border of Milton and Canton, Massachusetts (cf. the Narragansett name Massachusêuck)."
Michigan "**ᒥᔑᑲᒥ (mishigami)** <br>'Large water' or 'large lake' (in Old Algonquin, *meshi-gami)."
Minnesota "**mní sóta** <br>'Cloudy water', referring to the Minnesota River."
Mississippi "**ᒥᓯᓰᐱ (misi-ziibi)** <br>'Great river', after the Mississippi River."
Missouri "**wimihsoorita** <br>'Dugout canoe'. The Missouri tribe was noteworthy among the Illinois for their dugout canoes, and so was referred to as the wimihsoorita, 'one who has a wood boat [dugout canoe]'."
Montana "**montaña** <br>'Mountain'."
Nebraska "**ñįbraske** <br>'Flattened water', after the Platte River, which used to be known as the Nebraska River. Due to the flatness of the plains, flooding of the river would inundate the region with a flat expanse of water."
Nevada "**nevada** <br>'Snow-covered', after the Sierra Nevada ('snow-covered mountains')."
"New Hampshire" "**Hampshire** <br>After the county of Hampshire in England, whose name is derived from the original name for its largest city, Southampton, that being Hamtun, which is an Old English word that roughly translates to 'Village-Town'."
"New Jersey" "**Jersey** <br>After Jersey, the largest of the British Channel Islands and the birthplace of one of the colony's two co-founders, Sir George Carteret. The Latin name Caesarea was also applied to the colony of New Jersey as Nova Caesarea, because the Roman name of the island was thought to have been Caesarea. The name ""Jersey"" most likely comes from the Norse name Geirrsey, meaning 'Geirr's Island'."
